id,playerId,characterId,masteryPoints,wins,losses
659,145,12,320,41,35
615,113,18,1470,123,68
705,156,17,0,0,1
586,65,17,40,2,1
608,74,18,-1046,78,176
681,18,18,235,13,10
698,48,2,0,0,1
640,61,1,5,13,18
688,149,11,278,17,23
692,149,4,70,12,17
645,146,11,585,42,44
575,122,12,40,1,2
675,149,12,803,51,49
594,120,11,20,1,2
658,146,18,150,20,13
679,146,10,178,16,15
631,113,15,125,12,10
584,74,7,28,13,14
642,71,4,15,2,6
695,149,7,-45,0,5
616,29,18,270,38,31
690,149,9,113,13,19
666,146,15,20,1,3
581,109,3,10,2,7
703,152,2,0,0,1
573,113,4,550,39,29
706,156,1,0,0,1
707,136,4,0,0,1
711,38,18,40,1,2
701,145,6,360,27,14
708,155,16,0,0,1
643,146,16,-5,1,5
647,61,5,-5,14,25
652,145,14,43,12,19
663,145,5,80,16,20
656,145,18,385,35,29
685,149,18,10,1,4
634,141,2,80,2,1
672,146,1,30,8,7
694,109,5,85,5,8
611,65,18,695,31,25
664,145,3,-40,6,13
670,146,7,20,13,19
610,91,18,60,4,2
834,71,1,-5,0,1
844,215,9,0,0,1
747,29,16,20,8,7
749,165,6,205,14,9
857,232,2,455,14,9
798,98,11,0,0,1
718,163,2,0,0,2
799,98,1,40,1,1
822,195,14,80,2,1
791,113,11,60,10,11
800,98,18,0,0,1
753,61,7,425,41,25
717,86,11,203,8,4
722,40,17,0,0,1
787,186,1,20,1,0
724,61,18,55,4,2
736,165,10,180,10,6
750,149,6,-30,0,3
820,21,17,20,5,5
746,165,2,30,3,6
729,166,18,0,0,1
769,182,16,0,0,1
770,182,12,0,0,1
730,146,12,-10,0,1
771,147,10,0,0,1
832,210,11,40,1,0
728,165,12,245,13,8
723,40,18,40,1,3
788,186,9,20,1,0
828,210,10,40,1,2
773,182,2,40,1,0
754,61,17,230,22,15
768,182,11,40,1,1
774,172,1,0,0,1
742,165,11,220,13,12
737,167,2,0,0,1
766,178,10,0,0,1
775,172,10,20,1,0
748,149,5,-20,0,3
772,184,2,0,0,2
809,200,11,0,0,1
778,184,12,0,0,1
839,26,12,40,1,1
837,71,3,-280,0,27
780,181,4,48,3,5
757,157,5,0,0,2
758,170,1,0,0,1
686,146,4,110,24,26
781,181,12,40,1,2
726,165,14,100,6,10
827,16,17,0,0,2
745,169,2,0,0,1
796,73,18,20,1,1
789,181,14,-2,0,1
755,149,16,445,27,25
720,157,18,120,3,3
764,174,1,0,0,1
792,189,2,0,0,1
759,157,7,0,0,1
779,146,2,200,12,5
817,202,1,40,1,1
762,113,1,210,14,8
756,157,15,40,1,4
802,195,5,80,2,17
812,202,10,30,2,5
818,205,4,0,0,1
777,181,3,30,2,0
782,181,16,0,0,1
776,181,9,-2,0,2
807,47,11,20,1,1
794,190,12,0,0,1
783,181,11,0,0,1
727,165,4,413,20,18
760,165,3,-10,0,1
805,197,2,20,1,0
829,210,2,80,2,2
741,165,9,58,7,7
819,16,15,0,0,1
784,181,17,0,0,1
761,149,15,30,1,2
811,204,11,20,1,0
734,165,17,48,7,17
