id,threadId,ladderResetId,winnerId,winnerCharacterId,loserId,loserCharacterId,ranked,finishedAt
548,,1,18,6,29,4,,1744181733471
549,,1,26,1,29,4,,1744181974491
550,,1,29,4,16,7,,1744182008666
551,,1,18,6,29,4,,1744182074544
552,,1,29,1,26,1,,1744182490096
553,,1,18,1,26,1,,1744182555766
554,,1,29,4,16,1,,1744182644807
555,,1,18,7,29,1,,1744183033465
556,,1,18,7,16,6,,1744183047183
557,,1,16,4,29,1,,1744183310967
558,,1,18,7,16,4,,1744183370162
559,,1,29,4,25,1,,1744183692650
560,,1,16,4,25,1,,1744183698083
561,,1,25,1,18,7,,1744183842952
562,,1,29,1,18,5,,1744184207653
563,,1,29,1,16,6,,1744184290206
564,,1,29,1,25,4,,1744184297470
565,,1,16,1,29,3,,1744184818234
566,,1,18,7,16,2,,1744184886594
567,,1,2,7,23,2,,1744186829323
568,,1,2,7,23,4,,1744187168542
569,,1,2,7,23,5,,1744187573229
570,,1,2,2,23,4,,1744188011001
571,,1,16,7,12,2,,1744188056497
572,,1,2,2,23,4,,1744188316990
573,,1,16,7,12,6,,1744188561678
574,,1,2,7,23,1,,1744188762235
575,,1,12,6,16,7,,1744189076472
576,,1,2,7,23,4,,1744189188740
577,,1,12,4,16,4,,1744189426594
578,,1,2,6,23,6,,1744189648287
579,,1,16,4,28,3,,1744189933809
580,,1,28,7,24,4,,1744190787641
581,,1,11,7,24,1,,1744191352673
582,,1,11,5,28,10,,1744193065652
583,,1,8,4,11,5,,1744193685673
584,,1,11,7,25,7,,1744194090645
585,,1,11,7,25,1,,1744194491387
586,,1,11,7,25,9,,1744194959731
587,,1,3,4,2,7,,1744195035592
588,,1,2,2,3,4,,1744195305017
589,,1,3,4,2,2,,1744195674745
590,,1,16,8,28,1,,1744195876836
591,,1,17,9,3,4,,1744200279490
592,,1,24,6,32,2,,1744200388553
593,,1,3,4,17,3,,1744200690926
594,,1,6,7,3,4,,1744200926906
595,,1,17,10,28,3,,1744201055881
596,,1,6,7,3,4,,1744201353313
597,,1,2,7,3,4,,1744201686786
598,,1,6,7,17,4,,1744201770089
599,,1,2,7,3,4,,1744201984480
600,,1,17,5,28,5,,1744202463874
601,,1,33,3,2,8,,1744212998328
602,,3,34,8,24,10,,1744213558108
603,,1,25,1,27,4,,1744213691075
604,,1,33,9,35,5,,1744213750439
605,,1,24,4,34,6,,1744214042978
606,,1,35,1,2,9,,1744214387234
607,,1,27,4,33,3,,1744214393616
608,,1,17,4,27,4,,1744214921346
609,,1,17,7,27,4,,1744215278141
610,,1,5,3,35,10,,1744215598001
611,,1,5,8,35,5,,1744216291155
612,,1,17,9,11,6,,1744216363490
613,,1,11,7,17,7,,1744216754616
614,,1,5,8,35,5,,1744217024576
615,,1,11,7,17,1,,1744217152882
616,,1,29,1,13,6,,1744217864452
617,,1,29,4,13,6,,1744218344532
618,,1,5,8,11,9,,1744218524654
619,,1,35,2,2,5,,1744218539863
620,,1,28,1,29,2,,1744218842132
621,,1,17,4,11,5,,1744219066298
622,,1,29,4,28,9,,1744219147195
623,,1,29,1,2,2,,1744219669455
624,,1,11,5,17,6,,1744219804100
625,,1,2,2,29,4,,1744220201716
626,,1,29,1,17,4,,1744220592887
627,,1,17,1,29,4,,1744220923965
628,,1,5,6,35,6,,1744221246843
629,,1,35,7,5,7,,1744221735011
630,,1,35,7,5,7,,1744222115759
631,,1,12,6,8,2,,1744222176265
632,,1,8,7,12,2,,1744222752216
633,,1,5,8,13,6,,1744222993208
634,,1,2,1,35,7,,1744223275840
635,,1,29,1,11,5,,1744228491536
636,,1,11,7,29,4,,1744229259566
637,,1,29,1,11,6,,1744229614786
638,,1,11,5,29,2,,1744230183868
639,,1,29,4,11,6,,1744230615181
640,,1,13,6,6,8,,1744232607691
641,,1,19,7,13,6,,1744233222571
642,,1,13,6,6,6,,1744233835299
643,,1,19,2,36,2,,1744239678456
644,,1,25,4,2,4,,1744248669145
645,,1,6,8,19,8,,1744253062491
646,,1,29,4,35,5,,1744264905567
647,,1,16,2,26,2,,1744265196414
648,,1,35,2,29,1,,1744265346752
649,,1,35,6,29,4,,1744265610290
